grid_index,band,frequency(THz),tau_N_RTA(ps),tau_U_RTA(ps),tau_RTA_NU(ps),tau_MC(ps)
40,4,25.8513,18.8084,71.3818,14.8861,62.2001
40,5,40.9128,28.93,21.5777,12.3594,1656.28
40,6,45.4721,14.3355,65.5442,11.7628,775.777
41,1,8.62647,136.783,582.048,110.755,104.868
41,2,17.1183,85.5542,1070.28,79.2215,572.355
41,3,23.7386,194.172,37.9193,31.724,264.209
41,4,28.3767,23.342,21.7095,11.2481,40.3837
41,5,40.7063,26.1504,17.7973,10.59,13063.1
41,6,45.5352,11.2798,2.40361,1.9814,371.882
42,1,9.99362,144.562,541.827,114.116,237.143
42,2,18.1648,97.865,962.712,88.8345,255.176
42,3,23.0659,256.246,42.8633,36.7208,154.798
42,4,30.7799,23.8574,18.6099,10.4547,231.687
42,5,40.5289,24.5466,25.6225,12.5365,471.753
42,6,45.3803,17.8871,5.74954,4.35098,317.081
43,1,11.3245,139.597,379.216,102.036,186.166
43,2,19.0198,122.699,522.439,99.3631,214.335
43,3,22.3419,197.521,44.1322,36.0725,173.214
43,4,33.0525,20.3302,13.1215,7.97456,90.4637
43,5,40.3863,23.7256,27.2717,12.6877,3029.63
43,6,44.9846,22.9314,7.49883,5.65091,189.877
44,1,12.5699,135.771,268.281,90.1487,80.7744
44,2,19.6812,160.162,522.228,122.571,232.366
44,3,21.5933,156.716,44.4211,34.6107,84.5141
44,4,35.1793,16.7715,9.01778,5.86453,21.6591
44,5,40.2809,24.6441,39.4484,15.1682,1708.13
44,6,44.3385,28.0483,7.88609,6.15542,66.2396
45,1,13.6556,126.038,274.266,86.354,100.559
45,2,20.15,207.951,490.489,146.037,575.219
45,3,20.8756,161.153,56.6661,41.9243,132.526
45,4,37.1315,16.963,8.90732,5.84047,77.3808
45,5,40.2137,28.9818,42.5105,17.2331,2831.18
45,6,43.4508,23.5202,6.29234,4.96426,45.9579
46,1,14.4521,150.885,230.162,91.1384,174.929
46,2,20.3054,112.402,61.4115,39.7137,259.165
46,3,20.4292,283.733,406.408,167.084,234.949
46,4,38.8323,19.7006,9.05543,6.20383,345.652
46,5,40.1891,27.7491,39.9661,16.3778,719.778
46,6,42.379,13.6588,2.07398,1.80058,33.5372
47,1,14.7595,108.419,689.797,93.6928,570.7
47,2,20.0745,54.2257,219.556,43.4857,544.968
47,3,20.5215,192.466,2522.81,178.824,155.518
47,4,39.8473,11.8576,117.757,10.7728,7723.9
47,5,40.1379,12.6091,254.37,12.0136,907.07
47,6,41.6174,1.72694,8.68573,1.44052,13112.8
49,1,14.4535,150.878,229.322,91.0037,357.455
49,2,20.3043,120.009,60.1264,40.0571,209.107
49,3,20.4282,284.114,408.543,167.576,199.244
49,4,38.8959,19.859,8.63266,6.01706,51.0565
49,5,40.1097,26.73,48.5866,17.2435,2075.2
49,6,42.3935,13.4485,2.11044,1.82418,21.4563
50,1,13.6579,125.375,276.509,86.2618,81.0269
50,2,20.1482,206.758,481.556,144.651,455.906
50,3,20.8739,164.357,57.9997,42.8711,157.977
50,4,37.165,16.736,8.79379,5.76475,40.0616
50,5,40.1751,30.9496,51.2011,19.2896,112.923
50,6,43.4533,23.4696,6.29537,4.96388,223.775
51,1,12.5727,133.054,257.206,87.691,241.455
51,2,19.6787,159.774,521.551,122.306,1059.02
51,3,21.5913,140.518,43.54,33.2403,76.3849
51,4,35.2004,16.2887,8.9685,5.7839,42.1749
51,5,40.2614,25.8904,46.307,16.6059,230.424
51,6,44.333,28.0779,7.91231,6.17282,187.731
52,1,11.3277,139.838,378.315,102.099,239.959
52,2,19.0171,122.33,563.51,100.511,9210.97
52,3,22.34,181.553,43.5939,35.1531,64.9807
52,4,33.0663,20.1841,13.0718,7.93369,72.6886
52,5,40.379,25.0845,29.4909,13.5549,844.195
52,6,44.973,23.1559,7.55362,5.69566,392.449
53,1,9.9971,143.356,542.018,113.371,270.189
53,2,18.162,97.5463,969.272,88.627,9645.61
53,3,23.064,257.105,42.1809,36.236,73.8818
53,4,30.7884,23.7029,18.5806,10.4157,22.4465
53,5,40.5308,26.3463,27.8597,13.5409,229.495
53,6,45.3635,17.9781,5.90378,4.44432,730.609
54,1,8.63022,141.227,580.765,113.602,223.885
54,2,17.1158,85.0894,1042.08,78.6661,1113.04
54,3,23.7368,193.473,38.079,31.8169,68.8434
54,4,28.381,23.4237,21.3217,11.1617,94.4903
54,5,40.7159,24.8936,21.61,11.5679,452.692
54,6,45.5135,11.6343,2.38419,1.9787,487.681
55,1,7.26669,133.58,811.358,114.696,129.055
55,2,15.8849,78.0775,1446.73,74.0796,655.864
55,3,24.3455,162.289,41.4666,33.0276,72.2885
55,4,25.8522,18.7124,72.1637,14.8593,121.564
55,5,40.9297,30.7401,20.4234,12.2708,817.277
55,6,45.4455,14.0375,61.0925,11.4147,528.83
56,1,5.94235,154.771,1611.5,141.209,256.208
56,2,14.4808,77.1847,1590.86,73.6131,991.041
56,3,23.207,24.057,22.1774,11.5395,62.4473
56,4,24.8842,97.6889,42.7442,29.734,203.107
56,5,41.1641,24.5615,32.181,13.9298,814.276
56,6,45.1936,14.6459,432.257,14.1659,787.424
57,1,4.69126,167.698,3430.3,159.882,650.968
57,2,12.9191,75.9286,2810.03,73.931,514.705
57,3,20.4503,20.324,822.016,19.8337,408.199
57,4,25.3506,57.1953,50.7201,26.8817,368.012
57,5,41.4083,22.9907,22.9001,11.4727,267.297
57,6,44.801,33.4399,3203.42,33.0944,92.5178
58,1,3.54577,177.756,65117.4,177.272,536.238
58,2,11.2193,79.5735,5103.96,78.3519,235.69
58,3,17.5899,24.4566,4270.77,24.3173,221.79
58,4,25.7447,60.3693,90.1326,36.154,391.792
58,5,41.6504,19.3763,87.1045,15.8504,5839.5
58,6,44.3176,20.0539,6783.47,19.9948,3540.31
59,1,2.53586,233.871,412480,233.739,854.755
59,2,9.40503,84.9881,9988.25,84.271,545.796
59,3,14.64,29.1116,6274.71,28.9771,283.173
59,4,26.0679,45.9149,107.888,32.2079,1425.18
59,5,41.8777,20.218,386.148,19.2121,872.068
59,6,43.797,21.6356,19290.7,21.6113,725.273
60,1,1.68768,381.653,2.21774e+06,381.587,8642.15
60,2,7.5051,89.4972,13605.8,88.9123,653.776
60,3,11.6256,35.2036,16800.5,35.13,623.499
60,4,26.3224,39.2841,152.249,31.2268,1071.97
60,5,42.0785,23.806,964.471,23.2326,329.675
60,6,43.2936,24.938,8843.39,24.8679,1691.88
61,1,1.02144,746.172,1.07385e+07,746.12,5777.16
61,2,5.56037,99.3814,13577.2,98.6593,507.506
61,3,8.59384,42.0136,26010.9,41.9459,1277.82
61,4,26.5105,36.056,696.753,34.282,2285.05
61,5,42.2427,26.0745,4809.13,25.9339,250.269
61,6,42.8584,26.8554,5210.87,26.7177,295.289
62,1,0.547688,1823.06,4.63169e+07,1822.99,0
62,2,3.65438,114.27,74208.4,114.094,0
62,3,5.65947,49.9565,6031.15,49.5461,0
62,4,26.6345,38.1016,693.423,36.1171,0
62,5,42.3599,26.166,9807.96,26.0963,0
62,6,42.5378,26.2167,5472.01,26.0917,0
63,1,0.667555,1523.96,3.77621e+07,1523.9,6449.1
63,2,4.19096,113.793,72356.1,113.614,338.7
63,3,6.54345,46.9704,22253.1,46.8715,795.413
63,4,26.6038,35.8677,674.102,34.0557,7336.48
63,5,42.2766,24.3798,7626.53,24.3021,690.372
63,6,42.6743,29.1116,5827.86,28.9669,124.802
64,1,0.538404,1787.17,4.41872e+07,1787.1,1329.86
64,2,3.6525,114.076,67206.4,113.883,255.662
64,3,5.66671,49.3316,8697.6,49.0533,136.951
64,4,26.6348,36.4248,690.661,34.6001,1077.41
